category_type,category,metric,n_category,n_other,mean_diff,median_diff,cohens_d,mann_whitney_p,adj_beta,adj_p,platform_top,platform_share,low_sample
specific,security_privacy,downloads,7,1740,-6835947.907881773,-392494.0,-0.44473385648217106,0.0007101111505495838,-0.49655821675880274,0.13445843684088796,wordpress,1.0,True
specific,security_privacy,rating,6,1005,69.81303491325282,83.82051277160645,2.0461093379186335,0.001400962274770663,,,wordpress,1.0,True
specific,security_safety,stars,2,1747,-1372.3800801373782,595.0,-0.1698183628083501,0.871458013432893,0.2503367929324254,0.7053148061936456,homeassistant,1.0,True
specific,security_safety,downloads,2,1745,-6834859.914326647,-367652.5,-0.4445377581782456,0.11124631639433011,0.30840518695148805,0.47100083493700606,homeassistant,1.0,True
specific,security_safety,rating,2,1009,-18.30416245012975,-4.194174766540527,-0.5300958534891888,0.09702820464747665,,,homeassistant,1.0,True
specific,seo_marketing,stars,2,1747,-2391.0449341728677,-422.5,-0.29587792057855383,0.017206177501356487,-2.4266781105426225,0.00901144665077515,wordpress,1.0,True
specific,seo_marketing,downloads,2,1745,-6852830.987965616,-385603.0,-0.44570685825521317,0.04474166610899867,-0.8187001948459108,0.1729263017440304,wordpress,1.0,True
specific,seo_marketing,rating,2,1009,78.88810712370572,92.8095235824585,2.2958735022971823,0.028920211857108434,,,wordpress,1.0,True
specific,snippets_templates,stars,30,1719,-1935.2046538685283,-217.5,-0.2395743035677599,0.011237117878719645,-0.693269819266535,0.0004783823876289554,sublime,0.8666666666666667,False
specific,snippets_templates,downloads,30,1717,-3330908.1032226747,-126016.5,-0.21670293856632197,0.73792831986217,-0.13790358416041082,0.28274036616429554,sublime,0.8666666666666667,False
specific,snippets_templates,rating,4,1007,-14.205230988779057,0.10292744636535645,-0.4114122801445486,0.7409529796447685,,,sublime,0.8666666666666667,True
specific,social_communication,stars,2,1747,-1627.6720091585576,340.0,-0.20140954616989212,0.585299607216158,0.5254386274909155,0.515081112091356,firefox,1.0,True
specific,social_communication,downloads,2,1745,-6414701.4085959885,52164.0,-0.41720511930216575,0.6409621821486167,1.8181859830207554,0.00048693616802194997,firefox,1.0,True
